Municipios;Periodo;Total;Nombre_Municipio
01032 Lanciego/Lantziego;2024;78.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2023;75.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2022;74.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2021;71.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2020;70.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2019;72.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2018;68.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2017;75.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2016;71.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2015;70.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2014;70.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2013;65.0;Lanciego/Lantziego
01032 Lanciego/Lantziego;2012;70.0;Lanciego/Lantziego
01033 Lapuebla de Labarca;2024;70.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2023;60.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2022;73.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2021;74.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2020;74.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2019;74.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2018;79.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2017;79.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2016;78.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2015;75.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2014;79.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2013;80.0;Lapuebla de Labarca
01033 Lapuebla de Labarca;2012;80.0;Lapuebla de Labarca
01034 Leza;2024;12.0;Leza
01034 Leza;2023;9.0;Leza
01034 Leza;2022;11.0;Leza
01034 Leza;2021;12.0;Leza
01034 Leza;2020;14.0;Leza
01034 Leza;2019;20.0;Leza
01034 Leza;2018;19.0;Leza
01034 Leza;2017;20.0;Leza
01034 Leza;2016;21.0;Leza
01034 Leza;2015;21.0;Leza
01034 Leza;2014;18.0;Leza
01034 Leza;2013;16.0;Leza
01034 Leza;2012;18.0;Leza
01036 Laudio/Llodio;2024;756.0;Laudio/Llodio
01036 Laudio/Llodio;2023;769.0;Laudio/Llodio
01036 Laudio/Llodio;2022;823.0;Laudio/Llodio
01036 Laudio/Llodio;2021;826.0;Laudio/Llodio
01036 Laudio/Llodio;2020;855.0;Laudio/Llodio
01036 Laudio/Llodio;2019;869.0;Laudio/Llodio
01036 Laudio/Llodio;2018;866.0;Laudio/Llodio
01036 Laudio/Llodio;2017;857.0;Laudio/Llodio
01036 Laudio/Llodio;2016;907.0;Laudio/Llodio
01036 Laudio/Llodio;2015;899.0;Laudio/Llodio
01036 Laudio/Llodio;2014;884.0;Laudio/Llodio
01036 Laudio/Llodio;2013;900.0;Laudio/Llodio
01036 Laudio/Llodio;2012;909.0;Laudio/Llodio
01037 Arraia-Maeztu;2024;44.0;Arraia-Maeztu
01037 Arraia-Maeztu;2023;39.0;Arraia-Maeztu
01037 Arraia-Maeztu;2022;46.0;Arraia-Maeztu
01037 Arraia-Maeztu;2021;45.0;Arraia-Maeztu
01037 Arraia-Maeztu;2020;39.0;Arraia-Maeztu
01037 Arraia-Maeztu;2019;40.0;Arraia-Maeztu
01037 Arraia-Maeztu;2018;44.0;Arraia-Maeztu
01037 Arraia-Maeztu;2017;42.0;Arraia-Maeztu
01037 Arraia-Maeztu;2016;42.0;Arraia-Maeztu
01037 Arraia-Maeztu;2015;41.0;Arraia-Maeztu
01037 Arraia-Maeztu;2014;44.0;Arraia-Maeztu
01037 Arraia-Maeztu;2013;43.0;Arraia-Maeztu
01037 Arraia-Maeztu;2012;42.0;Arraia-Maeztu
01039 Moreda de Álava/Moreda Araba;2024;12.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2023;13.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2022;15.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2021;16.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2020;16.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2019;13.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2018;15.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2017;17.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2016;16.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2015;13.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2014;15.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2013;13.0;Moreda de Álava/Moreda Araba
01039 Moreda de Álava/Moreda Araba;2012;14.0;Moreda de Álava/Moreda Araba
01041 Navaridas;2024;17.0;Navaridas
01041 Navaridas;2023;19.0;Navaridas
01041 Navaridas;2022;22.0;Navaridas
01041 Navaridas;2021;19.0;Navaridas
01041 Navaridas;2020;19.0;Navaridas
01041 Navaridas;2019;21.0;Navaridas
01041 Navaridas;2018;21.0;Navaridas
01041 Navaridas;2017;19.0;Navaridas
01041 Navaridas;2016;21.0;Navaridas
01041 Navaridas;2015;21.0;Navaridas
01041 Navaridas;2014;22.0;Navaridas
01041 Navaridas;2013;21.0;Navaridas
01041 Navaridas;2012;19.0;Navaridas
01042 Okondo;2024;66.0;Okondo
01042 Okondo;2023;72.0;Okondo
01042 Okondo;2022;78.0;Okondo
01042 Okondo;2021;74.0;Okondo
01042 Okondo;2020;73.0;Okondo
01042 Okondo;2019;64.0;Okondo
01042 Okondo;2018;72.0;Okondo
01042 Okondo;2017;72.0;Okondo
01042 Okondo;2016;76.0;Okondo
01042 Okondo;2015;74.0;Okondo
01042 Okondo;2014;70.0;Okondo
01042 Okondo;2013;72.0;Okondo
01042 Okondo;2012;71.0;Okondo
01043 Oyón-Oion;2024;236.0;Oyón-Oion
01043 Oyón-Oion;2023;229.0;Oyón-Oion
01043 Oyón-Oion;2022;267.0;Oyón-Oion
01043 Oyón-Oion;2021;250.0;Oyón-Oion
01043 Oyón-Oion;2020;254.0;Oyón-Oion
01043 Oyón-Oion;2019;261.0;Oyón-Oion
01043 Oyón-Oion;2018;274.0;Oyón-Oion
01043 Oyón-Oion;2017;265.0;Oyón-Oion
01043 Oyón-Oion;2016;271.0;Oyón-Oion
01043 Oyón-Oion;2015;271.0;Oyón-Oion
01043 Oyón-Oion;2014;281.0;Oyón-Oion
01043 Oyón-Oion;2013;278.0;Oyón-Oion
01043 Oyón-Oion;2012;292.0;Oyón-Oion
01044 Peñacerrada-Urizaharra;2024;17.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2023;15.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2022;18.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2021;18.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2020;18.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2019;21.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2018;22.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2017;23.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2016;23.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2015;23.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2014;21.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2013;18.0;Peñacerrada-Urizaharra
01044 Peñacerrada-Urizaharra;2012;18.0;Peñacerrada-Urizaharra
01046 Erriberagoitia/Ribera Alta;2024;54.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2023;54.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2022;55.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2021;60.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2020;61.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2019;59.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2018;55.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2017;51.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2016;52.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2015;52.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2014;44.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2013;48.0;Erriberagoitia/Ribera Alta
01046 Erriberagoitia/Ribera Alta;2012;48.0;Erriberagoitia/Ribera Alta
01047 Ribera Baja/Erriberabeitia;2024;62.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2023;65.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2022;65.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2021;62.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2020;58.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2019;61.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2018;68.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2017;57.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2016;59.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2015;58.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2014;50.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2013;55.0;Ribera Baja/Erriberabeitia
01047 Ribera Baja/Erriberabeitia;2012;48.0;Ribera Baja/Erriberabeitia
01049 Añana;2024;12.0;Añana
01049 Añana;2023;15.0;Añana
01049 Añana;2022;16.0;Añana
01049 Añana;2021;14.0;Añana
01049 Añana;2020;14.0;Añana
01049 Añana;2019;13.0;Añana
01049 Añana;2018;10.0;Añana
01049 Añana;2017;9.0;Añana
01049 Añana;2016;12.0;Añana
01049 Añana;2015;11.0;Añana
01049 Añana;2014;10.0;Añana
01049 Añana;2013;7.0;Añana
01049 Añana;2012;9.0;Añana
