Municipios;Periodo;Total
02001 Abengibre;2022;45
02001 Abengibre;2021;50
02001 Abengibre;2020;51
02001 Abengibre;2019;60
02001 Abengibre;2018;62
02001 Abengibre;2017;55
02001 Abengibre;2016;59
02001 Abengibre;2015;59
02001 Abengibre;2014;55
02001 Abengibre;2013;50
02001 Abengibre;2012;53
02002 Alatoz;2024;28
02002 Alatoz;2023;23
02002 Alatoz;2022;32
02002 Alatoz;2021;29
02002 Alatoz;2020;27
02002 Alatoz;2019;26
02002 Alatoz;2018;26
02002 Alatoz;2017;27
02002 Alatoz;2016;26
02002 Alatoz;2015;29
02002 Alatoz;2014;27
02002 Alatoz;2013;26
02002 Alatoz;2012;29
02003 Albacete;2024;11.492
02003 Albacete;2023;11.505
02003 Albacete;2022;12.422
02003 Albacete;2021;12.356
02003 Albacete;2020;12.449
02003 Albacete;2019;12.419
02003 Albacete;2018;12.367
02003 Albacete;2017;12.438
02003 Albacete;2016;12.367
02003 Albacete;2015;12.298
02003 Albacete;2014;11.954
02003 Albacete;2013;11.837
02003 Albacete;2012;11.989
02004 Albatana;2024;31
02004 Albatana;2023;32
02004 Albatana;2022;31
02004 Albatana;2021;32
02004 Albatana;2020;30
02004 Albatana;2019;31
02004 Albatana;2018;29
02004 Albatana;2017;32
02004 Albatana;2016;32
02004 Albatana;2015;30
02004 Albatana;2014;34
02004 Albatana;2013;33
02004 Albatana;2012;39
02005 Alborea;2024;48
02005 Alborea;2023;54
02005 Alborea;2022;56
02005 Alborea;2021;57
02005 Alborea;2020;54
02005 Alborea;2019;51
02005 Alborea;2018;58
02005 Alborea;2017;56
02005 Alborea;2016;56
02005 Alborea;2015;53
02005 Alborea;2014;50
02005 Alborea;2013;49
02005 Alborea;2012;54
02006 Alcadozo;2024;25
02006 Alcadozo;2023;26
02006 Alcadozo;2022;28
02006 Alcadozo;2021;28
02006 Alcadozo;2020;28
02006 Alcadozo;2019;28
02006 Alcadozo;2018;32
02006 Alcadozo;2017;27
02006 Alcadozo;2016;25
02006 Alcadozo;2015;26
02006 Alcadozo;2014;27
02006 Alcadozo;2013;22
02006 Alcadozo;2012;24
02007 Alcalá del Júcar;2024;84
02007 Alcalá del Júcar;2023;79
02007 Alcalá del Júcar;2022;80
02007 Alcalá del Júcar;2021;84
02007 Alcalá del Júcar;2020;86
02007 Alcalá del Júcar;2019;82
02007 Alcalá del Júcar;2018;84
02007 Alcalá del Júcar;2017;81
02007 Alcalá del Júcar;2016;78
02007 Alcalá del Júcar;2015;81
02007 Alcalá del Júcar;2014;81
02007 Alcalá del Júcar;2013;82
02007 Alcalá del Júcar;2012;94
02008 Alcaraz;2024;94
02008 Alcaraz;2023;86
02008 Alcaraz;2022;93
02008 Alcaraz;2021;97
02008 Alcaraz;2020;105
02008 Alcaraz;2019;104
02008 Alcaraz;2018;103
02008 Alcaraz;2017;108
